2022-07-23 14:07:249 INFO  CountryPage2 :29 - Clicking on wales[[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='radio-wales']]
2022-07-23 14:07:509 INFO  CountryPage2 :34 - Clicking on next[[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:554 INFO  GpPracticePage3 :25 - Clicking on yes [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='radio-yes']]
2022-07-23 14:07:804 INFO  GpPracticePage3 :30 - Clicking on next [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:844 INFO  DentalPracticePage4 :26 - Clicking on wales  [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='radio-wales']]
2022-07-23 14:07:97 INFO  DentalPracticePage4 :31 - Clicking on next [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:104 INFO  DateOfBirthPage5 :31 - Enter date 1 to date field 1
2022-07-23 14:07:170 INFO  DateOfBirthPage5 :36 - Enter month 02 to Month field [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='dob-month']]
2022-07-23 14:07:218 INFO  DateOfBirthPage5 :41 - Enter Year 2000 to Year  field [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='dob-year']]
2022-07-23 14:07:522 INFO  DateOfBirthPage5 :47 - Clicking on next [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:570 INFO  PartnerPage6 :27 - Clicking on my yes [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='radio-yes']]
2022-07-23 14:07:827 INFO  PartnerPage6 :32 - Clicking on next [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:884 INFO  TexCreditPage7 :26 - Clicking on no [[ChromeDriver: chrome on WINDOWS (234f7577b7aeccf5b13daea7112f7d13)] -> xpath: //input[@id='radio-no']]
